"","HHSTFIPS","tot_w_age","tot_w","avg_age"
"1","01",6490754.48781322,560181.67994594,11.59
"2","02",1272721.75025332,99651.8552965,12.77
"3","04",368990.14443542,34544.15914166,10.68
"4","05",5415736.03599828,460163.33105904,11.77
"5","06",3176330.09932549,248399.15768131,12.79
"6","08",1819246.6060717,118073.3780428,15.41
"7","12",2706565.07207182,260825.102303507,10.38
"8","13",7984138.35835588,707285.394611747,11.29
"9","16",1835182.56448939,139781.60964228,13.13
"10","17",4956459.0545646,544893.2317765,9.1
"11","18",4742944.78597487,442035.99864424,10.73
"12","19",8218326.94577756,729653.81251244,11.26
"13","20",8086416.34414472,528825.01607425,15.29
"14","21",8792140.4148333,778998.6021853,11.29
"15","22",2042937.67374076,223280.28504782,9.15
"16","23",2812121.29710564,293814.01848001,9.57
"17","24",227339.5126545,32991.41707525,6.89
"18","26",6419722.7351394,611429.33799469,10.5
"19","27",5218853.57732684,514273.12521294,10.15
"20","28",5211250.87079453,515421.08382068,10.11
"21","29",9519804.8709861,824113.96632032,11.55
"22","30",5972139.09633275,405746.45045982,14.72
"23","31",6058085.79902305,465101.26477652,13.03
"24","32",974306.52122445,83214.50190461,11.71
"25","33",226657.94627135,32956.50540167,6.88
"26","35",1018980.28928805,92549.49599264,11.01
"27","36",2357700.14562559,268520.186909562,8.78
"28","37",4059987.47095284,400297.043921688,10.14
"29","38",2503288.55961843,209738.69794067,11.94
"30","39",2843817.94153411,268786.09636969,10.58
"31","40",3590828.6836901,380709.45442745,9.43
"32","41",872674.1615901,111327.8406557,7.84
"33","42",2084030.78285914,268253.79929314,7.77
"34","45",1927971.07255113,185965.925976754,10.37
"35","46",3469716.23413758,270448.964433358,12.83
"36","47",6220225.61488407,556979.71338403,11.17
"37","48",9684775.8398318,978707.367354687,9.9
"38","49",1067999.16757704,83371.26585474,12.81
"39","50",1102050.83485525,124766.157878924,8.83
"40","51",8824874.23415084,828282.281029525,10.65
"41","53",2162756.5984218,147548.5207748,14.66
"42","54",3742451.94304139,440174.55424169,8.5
"43","55",7099529.67749058,711950.39198577,9.97
"44","56",2522799.25143502,184422.103195516,13.68
